,n,Levels,Depth,Number_of_non_zeros,lam_val,Para_Algo_obj,Para_time,Shortest_path_obj,Shortest_path_time,M
0,100.0,,99.0,46.0,7.5,-397.8189533941045,0.09248754195868969,-397.8189533941045,0.005563126876950264,57.81934139078092
0,100.0,,99.0,48.0,7.5,-345.4858993568916,0.09073865413665771,-345.48589935689165,0.005451432429254055,61.954768632543114
0,100.0,,99.0,37.0,7.5,-275.81112411153526,0.09135835710912943,-275.81112411153526,0.0055227745324373245,56.39612941694634
0,100.0,,99.0,35.0,7.5,-326.6347485325326,0.09904599003493786,-326.6347485325326,0.005554198287427425,55.11187812537895
0,100.0,,99.0,48.0,7.5,-358.5072457573394,0.08980933763086796,-358.5072457573393,0.005505754612386227,58.79350264389697
0,200.0,,199.0,86.0,7.5,-779.9132680221522,0.1918009389191866,-779.9132680221524,0.029121756553649902,82.58452762631573
0,200.0,,199.0,91.0,7.5,-633.9126126546248,0.1828618859872222,-633.9126126546248,0.029224433936178684,81.36220546312713
0,200.0,,199.0,94.0,7.5,-715.5078841168771,0.18764520436525345,-715.507884116877,0.02917110826820135,80.78696519792592
0,200.0,,199.0,83.0,7.5,-616.262021874028,0.19598993472754955,-616.2620218740283,0.028932697139680386,79.53648267419423
0,200.0,,199.0,85.0,7.5,-624.1627856832027,0.1914429124444723,-624.1627856832029,0.03188482951372862,79.61308987332086
0,500.0,,499.0,225.0,7.5,-1656.786263411403,0.5101805040612817,-1656.7862634114013,0.15365307684987783,127.63882816623122
0,500.0,,499.0,205.0,7.5,-1617.839258727264,0.5063040237873793,-1617.8392587272638,0.14526892639696598,122.46974418681276
0,500.0,,499.0,230.0,7.5,-1728.6109079473288,0.4963556518778205,-1728.610907947329,0.15887668635696173,131.8591135085909
0,500.0,,499.0,253.0,7.5,-1984.8674188881855,0.5020434046164155,-1984.867418888186,0.14262297190725803,131.04400210407758
0,500.0,,499.0,212.0,7.5,-1419.2734912758922,0.49443151615560055,-1419.273491275892,0.15362555999308825,125.7076401978449
0,1000.0,,999.0,460.0,7.5,-3496.2652534180875,1.0514891715720296,-3496.265253418085,0.563063433393836,183.33675196107964
0,1000.0,,999.0,485.0,7.5,-3704.2870503461304,1.0504776639863849,-3704.2870503461327,0.5538822123780847,187.98766229937786
0,1000.0,,999.0,459.0,7.5,-3529.1666643889353,1.0567768709734082,-3529.166664388933,0.5540625238791108,185.00211732576744
0,1000.0,,999.0,449.0,7.5,-3547.4416868320586,1.0572776244953275,-3547.4416868320614,0.5596446907147765,184.47180624998754
0,1000.0,,999.0,453.0,7.5,-3337.797236116216,1.05626814160496,-3337.7972361162174,0.5592002756893635,183.90794612865685
0,2000.0,,1999.0,906.0,7.5,-7328.764672096779,2.311493239365518,-7328.764672096766,2.2039230773225427,260.7340248848213
0,2000.0,,1999.0,901.0,7.5,-6884.2246366001245,2.248254531994462,-6884.22463660012,2.181751769967377,258.9374723078643
0,2000.0,,1999.0,935.0,7.5,-7001.456675763789,2.2368748048320413,-7001.456675763795,2.2216255152598023,261.00253669696
0,2000.0,,1999.0,844.0,7.5,-6249.728253219983,2.2623649714514613,-6249.72825321999,2.198367716744542,254.92329613888322
0,2000.0,,1999.0,889.0,7.5,-6525.835092367939,2.257258645258844,-6525.835092367941,2.1795230405405164,258.5783472345089
0,5000.0,,4999.0,2313.0,7.5,-17908.39384184832,6.148125047096983,-17908.393841848287,14.429276152979583,412.6902298975901
0,5000.0,,4999.0,2288.0,7.5,-16953.057912380347,6.069079220062122,-16953.057912380355,14.10676991706714,405.275911076149
0,5000.0,,4999.0,2176.0,7.5,-16165.523068132867,6.27464079298079,-16165.523068132858,14.063424614956602,404.82563029229084
0,5000.0,,4999.0,2217.0,7.5,-17222.477800097848,6.168138492852449,-17222.477800097826,14.067161737009883,409.28727103288423
0,5000.0,,4999.0,2327.0,7.5,-17193.579215581532,6.206222963985056,-17193.57921558153,14.255805236054584,412.55106272608776
