,n,Levels,Depth,Number_of_non_zeros,lam_val,Reported_Gurobi_obj_P,True_Gurobi_obj_P,Para_Algo_obj,Gurobi_opt_gap_P,Objective_Diff_P,Error%_P,Gurobi_time_P,ST_Para_time,BnB_Nodes_P,M,Gurobi_opt_gap_M,Objective_Diff_M,Error%_M,Gurobi_time_M,BnB_Nodes_M,,,,n,Number_of_non_zeros,lam_val,Reported_Gurobi_obj_P,True_Gurobi_obj_P,Para_Algo_obj,Gurobi_opt_gap_P,Objective_Diff_P,Error%_P,Gurobi_time_P,ST_Para_time,BnB_Nodes_P,M,Gurobi_opt_gap_M,Objective_Diff_M,Error%_M,Gurobi_time_M,BnB_Nodes_M
0,1000,,95,916,0.2,-10195.80109,-10195.80109,-10196.12356,7.58E-05,-0.322464964,-0.0032,0.271040142,1.15261719,1,184.3099088,8.13E-05,-0.376627302,-0.0037,4.908756215,1,,,,1000,916.8,0.2,-9880.62126,-9880.621777,-9880.882577,0.0000752,-0.260799126,-0.00268,10.88106318,1.140121553,770.6,181.7554784,0.00007104,-0.323991395,-0.00328,16.12120211,2778.8
0,1000,,67,919,0.2,-9737.119118,-9737.119118,-9737.523903,9.96E-05,-0.404785096,-0.0042,0.269027388,1.102734152,1,180.5801781,9.56E-05,-0.487744127,-0.005,10.83222931,3579,,,,1000,733.6,2,-8429.745613,-8429.745623,-8429.752205,0.001446491,-0.006582149,-0.00008,3600.111073,1.0657998,361793.4,181.6662732,0.00103592,-76.90569861,-0.92304,3600.112922,5471547.6
0,1000,,77,905,0.2,-9576.824787,-9576.824787,-9577.157832,8.48E-05,-0.333045063,-0.0035,0.254658625,1.159073416,1,178.8342504,6.31E-05,-0.314858386,-0.0033,3.704323992,1,,,,1000,593.8,5,-6457.206603,-6456.088056,-6457.215692,0.007591161,-1.127635167,-0.01834,3600.131385,1.045938742,370518.2,181.1658896,0.005988782,-128.7659788,-2.26046,3601.762152,5655580.4
0,1000,,46,922,0.2,-9750.115707,-9750.117948,-9750.240728,7.53E-05,-0.122780676,-0.0013,38.72067328,1.177317824,1286,181.7344851,6.23E-05,-0.1991795,-0.002,56.30789961,10312,,,,1000,345.6,13,-2865.359041,-2810.121236,-2865.563565,0.080799186,-55.44232894,-2.14198,3600.097816,0.984332468,397459.4,182.4282229,7.11%,-775.0388632,-98.99904,3601.274126,6577235
0,1000,,74,922,0.2,-10143.2456,-10143.24594,-10143.36686,4.05E-05,-0.120919833,-0.0012,14.88991644,1.108865181,2564,183.3185698,5.29E-05,-0.241547658,-0.0024,4.852801437,1,,,,1000,171.2,20,-1109.87454,-1109.874527,-1109.874539,0.286708827,-1.26605E-05,0,3600.119255,0.970108632,377946.6,182.4048979,0.25556675,-1388.174283,-31.51614,3600.10652,7474038.4
0,1000,,86,723,2,-8491.603133,-8491.60317,-8491.603578,0.001425044,-0.000407982,0,3600.129916,1.052634425,360342,180.5441206,0.000986513,-115.837485,-1.383,3600.175924,6290522,,,,1000,99,25,-540.1171494,-60.40561979,-540.1171539,49.43%,-479.7115341,-25.81768,3600.080412,0.957934473,373420,181.7366003,42.84%,-70.07336396,-15.64206,3600.594199,8350992.6
0,1000,,79,748,2,-8617.665429,-8617.665424,-8617.665436,0.001094173,-1.14E-05,0,3600.123852,1.069582796,296088,183.9335214,0.000767643,-80.58573094,-0.9439,3600.154613,4532519,,,,1000,0.4,50,-0.301281963,-0.301281509,-0.301282018,0.00001808,-5.10033E-07,-0.00015,15.41184443,0.919085803,1336.4,185.1215256,0.00000684,-11270.23183,-80.00042,7.637641748,99.4
0,1000,,84,744,2,-8326.164964,-8326.164962,-8326.19742,0.001465922,-0.032457064,-0.0004,3600.055773,1.075260758,329112,181.0056807,0.001139968,-2.512054498,-0.0302,3600.045613,4793256,,,,,,,,,,,,,,,,,,,,,
0,1000,,67,715,2,-8074.403015,-8074.403012,-8074.403028,0.001681763,-1.64E-05,0,3600.186475,1.0500146,405215,179.0631495,0.001220516,-103.7548416,-1.3017,3600.111358,6028228,,,,,,,,,,,,,,,,,,,,,
0,1000,,93,738,2,-8638.891522,-8638.891546,-8638.891564,0.001565554,-1.79E-05,0,3600.05935,1.081506419,418210,183.7848938,0.001064961,-81.83838102,-0.9564,3600.077102,5713213,,,,,,,,,,,,,,,,,,,,,
0,1000,,98,585,5,-6310.919005,-6310.918996,-6310.919011,0.008954565,-1.57E-05,0,3600.069814,1.07215352,344367,182.4547345,0.007164733,-0.276437752,-0.0044,3600.179845,5998048,,,,,,,,,,,,,,,,,,,,,
0,1000,,57,599,5,-6314.476535,-6314.476548,-6314.521891,0.008494634,-0.045343432,-0.0007,3600.165158,1.010203363,453418,178.8991143,0.006451821,-631.3761739,-11.1096,3600.154034,6665584,,,,,,,,,,,,,,,,,,,,,
0,1000,,71,605,5,-6149.947212,-6144.354421,-6149.947218,0.007408433,-5.592796652,-0.091,3600.080512,1.095729891,308529,178.0375298,0.005682016,-6.102046182,-0.0993,3608.242303,4903937,,,,,,,,,,,,,,,,,,,,,
0,1000,,63,603,5,-6843.74295,-6843.742991,-6843.743009,0.006627348,-1.75E-05,0,3600.255237,1.012799157,413494,183.9850678,0.005328486,-5.716085042,-0.0836,3600.077577,5904714,,,,,,,,,,,,,,,,,,,,,
0,1000,,72,577,5,-6666.947312,-6666.947326,-6666.947329,0.006470824,-2.55E-06,0,3600.086205,1.03880778,332783,182.4530015,0.005316855,-0.359151277,-0.0054,3600.157001,4805619,,,,,,,,,,,,,,,,,,,,,
0,1000,,90,338,13,-3015.422064,-3015.422057,-3015.422067,0.06475886,-9.62E-06,0,3600.101443,0.964142319,324210,182.3079802,0.055750849,-3785.065607,-491.7946,3600.067761,6020227,,,,,,,,,,,,,,,,,,,,,
0,1000,,73,354,13,-2909.271455,-2909.271442,-2909.715413,0.084424609,-0.443970038,-0.0153,3600.110231,0.917780643,437792,183.4979569,0.074465156,-42.03726513,-1.4659,3603.036084,6990494,,,,,,,,,,,,,,,,,,,,,
0,1000,,77,334,13,-2893.896407,-2893.896427,-2894.121644,0.07862205,-0.225217681,-0.0078,3600.146738,0.973824241,437258,181.5191568,0.068931351,-29.97584138,-1.0466,3603.032898,7315533,,,,,,,,,,,,,,,,,,,,,
0,1000,,67,365,13,-2644.386482,-2644.386579,-2644.772426,0.098107412,-0.385846239,-0.0146,3600.075794,1.067106195,317603,184.6742206,0.089190163,-17.65730334,-0.6721,3600.175174,3804055,,,,,,,,,,,,,,,,,,,,,
0,1000,,63,337,13,-2863.818795,-2587.629673,-2863.786274,0.078083,-276.1566011,-10.6722,3600.054873,0.998808943,470434,180.1418001,0.06706762,-0.458299157,-0.016,3600.058711,8755866,,,,,,,,,,,,,,,,,,,,,
0,1000,,105,180,20,-1126.976505,-1126.976487,-1126.976498,0.269348317,-1.05E-05,0,3600.095905,0.940649029,401224,181.7876914,0.237418778,-0.086235946,-0.0077,3600.079883,8359112,,,,,,,,,,,,,,,,,,,,,
0,1000,,79,144,20,-918.8872636,-918.8872594,-918.8872602,0.37523472,-7.70E-07,0,3600.067843,0.941678065,398112,181.8011331,0.344731213,-226.619697,-32.7359,3600.064161,7981390,,,,,,,,,,,,,,,,,,,,,
0,1000,,93,188,20,-1113.980922,-1113.980914,-1113.980926,0.318338296,-1.29E-05,0,3600.07469,0.942706332,371656,186.7951708,0.29130105,-0.643371378,-0.0578,3600.12747,6577726,,,,,,,,,,,,,,,,,,,,,
0,1000,,90,179,20,-1245.170951,-1245.170921,-1245.17095,0.224882957,-2.86E-05,0,3600.141488,1.06444321,371362,182.5200461,0.191685407,-6691.978922,-122.8606,3600.159927,7698383,,,,,,,,,,,,,,,,,,,,,
0,1000,,87,165,20,-1144.357058,-1144.357052,-1144.357063,0.245739846,-1.05E-05,0,3600.216348,0.961066527,347379,179.1204479,0.2126973,-21.54318805,-1.9187,3600.101161,6753581,,,,,,,,,,,,,,,,,,,,,
0,1000,,63,91,25,-498.9508023,-498.9507924,-498.950806,0.541228534,-1.36E-05,0,3600.104036,0.953407551,355912,182.9460438,0.482169921,-76.2514857,-18.0392,3601.068074,6943852,,,,,,,,,,,,,,,,,,,,,
0,1000,,102,97,25,-519.3167899,-519.3167831,-519.3167972,0.560281273,-1.41E-05,0,3600.147787,0.964618525,361287,183.6302539,0.483276399,-0.114866074,-0.0221,3601.081208,7813418,,,,,,,,,,,,,,,,,,,,,
0,1000,,74,114,25,-538.6073749,-538.6073661,-538.6073709,0.538142307,-4.86E-06,0,3600.072874,0.930978523,374476,180.8888459,0.481577332,-123.9684981,-29.8979,3600.659666,8398019,,,,,,,,,,,,,,,,,,,,,
0,1000,,76,101,25,-603.226185,-603.2261967,-603.2262043,0.391888962,-7.54E-06,0,3600.042837,0.968092527,372208,182.420545,0.328745575,-77.1659434,-14.6687,3600.099359,9042077,,,,,,,,,,,,,,,,,,,,,
0,1000,,45,92,25,-540.4845952,1858.073039,-540.4845912,0.440003093,-2.40E+03,-129.0884,3600.034528,0.972575241,403217,178.797313,0.366043914,-72.86602655,-15.5824,3600.06269,9557597,,,,,,,,,,,,,,,,,,,,,
0,1000,,111,0,50,0,0,0,0,0,,11.77818902,0.960361049,147,186.3473208,0,-91.2915835,-100,8.182690375,112,,,,,,,,,,,,,,,,,,,,,
0,1000,,90,0,50,0,0,0,0,0,,11.35613722,0.902994921,93,184.2512002,0,-27027.09565,-100,5.490140039,52,,,,,,,,,,,,,,,,,,,,,
0,1000,,76,0,50,0,0,0,0,0,,3.534585504,0.93160942,3930,187.1113577,0,-305.2542918,-100,4.977055775,199,,,,,,,,,,,,,,,,,,,,,
0,1000,,100,1,50,-0.601775511,-0.601775967,-0.601775967,9.04E-05,-1.64E-10,0,2.648223763,0.889949026,2403,185.554541,0,-28927.5176,-100.0021,3.311668431,83,,,,,,,,,,,,,,,,,,,,,
0,1000,,52,1,50,-0.904634302,-0.904631576,-0.904634122,0,-2.55E-06,-0.0003,47.74208662,0.910514599,109,182.3432084,3.42E-05,7.11E-15,0,16.22665412,51,,,,,,,,,,,,,,,,,,,,,
